7.01871243752059e+042	1.35220724027326e+000
7.22403329678847e+052	1.69436758205992e+004
1.35311208892426e+044	1.03577917635950e+000
3.65090955270350e+054	1.93312324016915e+004
1.05244525674305e+046	1.38427180760345e+000
1.28788053262459e+055	7.28778278489076e+003
5.74422485668187e+045	1.21330354259128e+000
1.45129873267734e+055	1.33645456405951e+004
8.70427741953814e+046	1.03577917635950e+000
1.84056692663924e+055	3.87067100798495e+003
2.53581231263253e+048	1.15098245175973e+000
1.41755078768228e+055	9.07852444235623e+002
