31.5	0.695	12.01	0.93	0.93	280	42	66	1.04	0.19
10.9	0.835	6.12	1.3	1.3	145	43	43	0.7	0.21
33.8	0.9578	262.2	9.1	9.1	531	43	47	0.57	0.1
3.6	3.418	146.3	6.1	6.1	791	71	88	1.08	0.57
4.5	1	4.82	0.9	0.9	71	36	36	0.38	0.18
17.9	0.0085	0.001	0.0002	0.0002	55	21	21	8.72	2.06
9.5	1.096	5.9	0.9	0.9	194	89	89	0.95	0.31
52.1	0.966	72	7	7	503	64	64	0.91	0.13
23.9	1.6004	2133	54	54	1883	81	88	0.88	0.18
55.8	1.30658	1255	43	43	683	58	62	0.39	0.05
21.3	1.6187	174.2	8.1	8.1	356	26	31	0.45	0.1
18	0.8424	218.1	7.7	7.7	551	17	17	0.64	0.15
11.6	0.4331	3.86	0.28	0.28	149	16	21	0.87	0.26
37	0.7055	233.4	4.6	4.6	315.5	8.5	8.5	0.36	0.06
7.2	1.02	886	11	11	713	30	30	0.47	0.18
17.5	4.5	1817	11	11	732	66	72	0.36	0.09
4.32	0.8463	193.1	4.8	4.8	687	37	39	0.84	0.4
1.21	2.0335	33.7	5	5	494	109	200	1.21	1.1
13.1	1.1181	95.7	4.9	4.9	246	17	21	0.4	0.11
11.3	1.0585	649	20	20	2229	103	107	1.67	0.5
18	2.0369	278	11	11	328	21	24	0.35	0.08
36.2	1.4768	1072	30	30	706	50	54	0.43	0.07
13.7	0.45	10.84	0.47	0.47	135	10	12	0.52	0.14
41.9	0.36	98.9	2.7	2.7	1114	131	147	1.77	0.27
16.2	2.14	63	7	7	186	24	24	0.36	0.09
18.7	3.198	270	30	30	448	148	148	0.48	0.11
6.1	1.9	35	1	1	290	100	100	0.7	0.28
24.6	0.6898	117.3	1.8	1.8	272	12	12	0.4	0.08
39.7	1.254	758	47	47	512	38	41	0.36	0.06
2.8	1.962	77.8	8.6	8.6	470	84	124	0.82	0.5
8	0.25	0.024	0.006	0.006	3.37	1.79	1.79	0.15	0.05
23.4	2.33	33	4	4	266	117	117	0.66	0.14
0.9	1.004	9.9	1.9	1.9	108	50	26	0.43	0.46
25.8	1.98	121	13	13	289	66	66	0.42	0.08
7.46	3.372	28	9	9	270	113	113	0.71	0.26
55.6	1.52	470	30	30	328	55	55	0.28	0.04
18.7	0.16854	16.55	0.3	0.3	113.3	2.3	2.3	0.37	0.09
2.8	2.65	21.6	2.6	2.6	128	26	26	0.37	0.22
27.6	0.782	25	3	3	57	9	9	0.16	0.03
31	0.105	0.1	0.04	0.04	158	51	51	3.97	0.71
55.8	1.563	13	3	3	44	33	33	0.16	0.02
0.43	0.859	5.08	0.27	0.27	133.8	11.2	11.2	0.7	1.07
4	0.716	6.88	0.37	0.37	147.6	8.6	8.6	0.068	0.34
10.8	1.29	7.36	1.6	1.6	263	110	110	1.18	0.36
14.1	0.5915	1.21	0.18	0.18	110	54	54	1.02	0.27
13.1	1.44	22	1.6	1.6	115	25	25	0.33	0.09
8.5	2.8992	464	22	22	409	43	55	0.35	0.12
1.52	0.6535	1	0.1	0.1	25.1	4.2	4.2	0.25	0.2
11.2	4.27	176	26.1	26.1	661	245	245	0.84	0.25
4.4	0.606	28.08	0.61	0.61	128.5	3.2	3.2	0.34	0.16
2.9	2.821	947	63	63	913	130	245	0.59	0.35
16.6	4.3	145	31	31	514	179	179	0.71	0.17
24	5.3	112	24.3	24.3	339	47	47	0.51	0.11
122	2.6147	1036	36	36	1753	333	539	1.09	0.1
23.9	6.29	1240	130	130	3178	1094	1094	1.84	0.38
4.5	3.344	19.7	3.2	3.2	195	36	36	0.59	0.28
2	2.198	53	17	17	415	111	111	0.85	0.6
55.4	2.77	834	70	70	2074	354	501	1.41	0.19
85.4	0.8	490	10	10	794	29	32	0.67	0.07
11.9	2.346	71.1	8.5	8.5	569	141	268	1.03	0.3
30.8	3.53	63	9	9	285	34	34	0.54	0.1
0.28	4.6	180	12	12	767	67	84	0.96	1.82
72.2	2.297	328	15	15	788	86	112	0.78	0.09
1.51	4.048	43	9	9	394	46	46	0.88	0.71
51.9	3.91	415.3	57	57	575	186	186	0.52	0.07
2033	0.0331	0.053	0.003	0.003	4.9	0.3	0.3	0.16	0.004
2.09	4.41	42.9	6.6	6.6	339	63	63	0.75	0.52
23.8	1.5597	20.3	3.2	7	171	41	79	0.51	0.11
41.4	1.489	130	30	30	572	143	143	0.82	0.13
4.2	1.5026	23.4	2.9	2.9	320	63	115	0.91	0.44
46.6	4.94	367	28.7	28.7	575	143	143	0.54	0.08
11.6	5.11	77.7	15.2	15.2	427	79	79	0.75	0.22
70.8	3.221	26	3	3	105	21	21	0.29	0.03
16.6	3.78	28.3	4.5	4.5	490	251	251	1.29	0.32
25	3.075	109	15.5	15.5	575	200	200	0.88	0.18
14.9	3.425	54	10	10	279	28	28	0.57	0.15
31	2.711	134	9	9	234	109	109	0.33	0.06
49.9	1.9229	414	25	25	1257	371	1055	1.13	0.16
100.7	0.703	3.64	0.74	0.74	135	41	41	0.81	0.08
9.3	3.686	149	15.6	15.6	209	43	43	0.28	0.09
6.7	1.884	62.4	5.7	5.7	432	86	86	0.83	0.32
2.5	0.937	11.7	3.3	3.3	395	145	589	1.48	0.93
3.4	5.47	138	20	20	475	47	47	0.66	0.36
25.5	1.261	1113	40	40	902	25	27	0.55	0.11
13.9	0.3453	4.53	0.88	0.88	702	187	357	3.84	1.03
7.7	1.314	304	11	11	1405	106	120	1.43	0.51
32.8	1.1588	300	30	30	1337	410	410	1.37	0.24
19.5	2.088	259.9	6.8	6.8	920	68	80	1	0.23
9.2	3.355	103	16	16	200	28	28	0.31	0.1
26.4	2.352	55	15	15	370	170	170	0.75	0.15
48.8	1.547	1278	64	64	947	79	92	0.54	0.08
17.6	2.0627	777	85	85	1182	144	181	0.83	0.2
8.1	0.82	79.8	1.2	1.2	342.2	7.3	9.1	0.59	0.21
11.8	2.0865	147.5	4.6	4.6	589	38	43	0.8	0.23
8.2	1.60435	385	18	18	2086	164	188	1.93	0.67
4.4	0.947	14.5	1.3	1.3	107.1	9.7	7.8	0.37	0.18
0.87	2.1462	85	6.9	6.9	1013	107	138	1.71	1.84
2.9	0.8227	11.8	1.9	1.9	740	182	326	2.76	1.62
0.97	1.3308	37.6	3.1	3.1	648	128	235	1.52	1.54
23	0.9382	1567	19	19	1264	17	17	0.67	0.14
3.5	1.9492	155	16	16	1864	333	472	2.48	1.33
21.1	1.0301	238.5	7.7	7.7	540	37	43	0.61	0.13
5.2	2.433	72	12	12	659	148	381	1.19	0.52
1.28	1.1014	24	3	3	150	30	30	0.42	0.37
2.04	1.8	286	13	13	549	34	34	0.57	0.4
23	1.8204	80	14	14	1128	361	2084	1.96	0.41
3.4	2.6892	100	17	17	373	66	137	0.59	0.32
5.2	1.6403	240.1	4.7	4.7	686	24	26	0.77	0.34
7.1	3.0363	2171	60	60	1348	65	69	0.62	0.23
5.5	2.591	1509	63	63	1760	147	147	0.94	0.4
10.6	2.2059	115	20	20	810	45	45	1.21	0.37
24.4	3.35	450	50	50	1470	180	180	1.28	0.26
1.04	6.695	86	25	25	710	350	350	1.2	1.17
3.9	0.6887	8.49	0.7	0.7	218	24	30	0.93	0.47
11.5	4.35	4820	390	390	2702	230	246	0.91	0.27
6.5	0.5295	1.6	0.3	0.3	61	15	15	0.51	0.2
64.4	3.038	170	20	20	234	93	93	0.03	0.04
18.7	2.58	43	9	9	147	14	14	0.33	0.08
5.5	2.512	235.2	9.9	9.9	892	63	77	1	0.43
96.4	2.05	285	96	96	1336	497	1854	1.39	0.14
9	2.26	397	10	10	264.1	6.5	6.5	0.24	0.08
3.2	2.77	178	12	12	724	72	94	0.91	0.51
6	1.547	200	10	10	1100	92	107	1.32	0.54
21.7	2.1	955	28	28	484	19	22	0.31	0.07
29.1	3.57	5810	440	440	1906	206	206	0.6	0.11
30.4	0.736	108.7	8.2	8.2	1297	151	187	1.99	0.36
21.5	1.608	160	40	40	1567	384	384	2.06	0.44
1.11	8.23	113	31	31	498	203	203	0.75	0.71
2.8	0.544	38.9	0.7	0.7	250.1	9.3	9.3	0.58	0.35
41.1	4.109	885	192	192	948	217	503	0.63	0.1
67.7	0.54	252.9	4.9	4.9	288	9.2	9.2	0.32	0.04
27.6	1.8	665	12	12	776	28	28	0.58	0.11
17.8	3	205	19	19	540	76	104	0.64	0.15
9.5	2.452	271.8	9.7	9.7	1326	362	908	1.41	0.46
6.9	1.822	3050	20	20	2187	31	31	0.88	0.34
4.3	2.1062	2111	53	53	1016	25	25	0.48	0.23
49	1.24	35.5	1.2	1.2	203.8	4.5	4.5	0.49	0.07
10.6	0.8969	106	1	1	922	45	45	1.43	0.44
2.2	0.971	8	0.9	0.9	55	26	26	0.24	0.16
10.8	1.71	122	24	24	130	19	19	0.19	0.06
52.5	1.092	280	30	30	794	231	231	0.83	0.12
10.5	2.752	74	7.4	7.4	230	66	66	0.4	0.13
3.3	0.49034	16.3	0.2	0.2	53.6	3	3	0.18	0.1
7.2	1.063	20.1	0.7	0.7	297.5	28.7	37.1	0.9	0.33
9.2	1.368	766	12	12	1486	29	29	1.04	0.34
4.9	0.6239	0.99	0.63	0.63	47.1	3.2	3.2	0.47	0.21
23.1	1.5545	294	23	23	2233	411	618	2.3	0.48
30	0.542	44.5	2.2	2.2	163	12	14	0.36	0.07
62.3	1.567	1140	68	68	783	41	41	0.47	0.06
3.9	2.106	26.6	1.1	1.1	407	47	47	1.1	0.56
60.8	1.44	75.9	5.8	5.8	312	27	32	0.55	0.07
1.13	0.8049	73	0.2	0.2	246.7	8.5	8.5	0.44	0.42
33.1	1.727	289	3	3	289	55	48	0.3	0.05
21.6	0.414	5.4	0.4	0.4	354	42	58	1.8	0.39
21.9	0.55	5.9	0.4	0.4	109	12	12	0.54	0.12
3790	0.847	12	3	3	70	37	37	0.26	0.004
79.8	2.22	560	60	60	715	239	239	0.57	0.06
11.9	1.46	69	2	2	242	17	21	0.45	0.13
24	1.083	70.4	5	5	256	40	40	0.47	0.1
8.1	1.77	747	11	11	429.4	8.3	8.3	0.03	0.11
2.6	1.613	212.8	9.5	9.5	575	31	31	0.67	0.42
1.56	0.82	49.7	3.3	3.3	217	13	13	0.46	0.36
1.75	2.83	315	12	12	1103	61	69	1.11	0.84
9.9	0.984	2705	99	99	667	69	79	0.28	0.09
2.1	5	414	71	71	624	120	186	0.56	0.39
5963	0.677	52	10	10	520	89	89	1.07	0.014
